Id,SalePrice
1461,118692.555
1462,151047.3
1463,177411.2
1464,199660.23
1465,195769.89
1466,172397.66
1467,184833.66
1468,162887.86
1469,188906.2
1470,123342.35
1471,181825.16
1472,101368.414
1473,96592.484
1474,146118.86
1475,114903.164
1476,361408.72
1477,243902.25
1478,301477.4
1479,295434.62
1480,528985.2
1481,330137.94
1482,208189.58
1483,175271.58
1484,167364.97
1485,188182.98
1486,191348.9
1487,332429.75
1488,235381.14
1489,190645.08
1490,243572.67
1491,190471.34
1492,86321.11
1493,198065.86
1494,287108.22
1495,281224.47
1496,238061.05
1497,176355.05
1498,173318.67
1499,162635.94
1500,162709.16
1501,183914.06
1502,156447.22
1503,284446.9
1504,248769.02
1505,229089.58
1506,190238.06
1507,255449.0
1508,193784.58
1509,153557.98
1510,144621.06
1511,154014.55
1512,178088.77
1513,148082.56
1514,149802.38
1515,198167.7
1516,147450.67
1517,165719.38
1518,132609.89
1519,210245.47
1520,125534.33
1521,126525.55
1522,174115.03
1523,114771.414
1524,120127.17
1525,118732.63
1526,112169.1
1527,104641.875
1528,131608.78
1529,151290.5
1530,198193.02
1531,122253.72
1532,92368.766
1533,144059.97
1534,123129.99
1535,141584.1
1536,106955.664
1537,76768.41
1538,138633.11
1539,178623.02
1540,82344.06
1541,138069.06
1542,145139.73
1543,175594.3
1544,85396.02
1545,112072.016
1546,139956.88
1547,132737.17
1548,133912.8
1549,120807.06
1550,139543.19
1551,97937.84
1552,138262.5
1553,138925.2
1554,124735.0
1555,161601.31
1556,83303.984
1557,100368.56
1558,98971.32
1559,70316.1
1560,141969.03
1561,109350.76
1562,135451.27
1563,121999.82
1564,157664.17
1565,146333.89
1566,237649.33
1567,75764.125
1568,244836.56
1569,132069.72
1570,135414.33
1571,111400.78
1572,138862.28
1573,221844.39
1574,113964.62
1575,231802.4
1576,259820.12
1577,180479.5
1578,136514.53
1579,146232.19
1580,189243.94
1581,158511.92
1582,130664.21
1583,292632.2
1584,219546.89
1585,140569.25
1586,71399.1
1587,104468.766
1588,153803.17
1589,98461.53
1590,131021.32
1591,95673.49
1592,108354.7
1593,121925.14
1594,137996.92
1595,122176.68
1596,222135.92
1597,197717.1
1598,217547.52
1599,164388.81
1600,156545.73
1601,81501.0
1602,118615.375
1603,64435.1
1604,255445.58
1605,243434.73
1606,169224.48
1607,180343.77
1608,214837.36
1609,177799.08
1610,150979.45
1611,138942.17
1612,175722.45
1613,172562.64
1614,127307.92
1615,92975.66
1616,80780.27
1617,94918.55
1618,133350.02
1619,144617.33
1620,206328.64
1621,135167.5
1622,143634.42
1623,256753.45
1624,213419.95
1625,113283.26
1626,171987.28
1627,190863.19
1628,278513.0
1629,173656.52
1630,353088.56
1631,225579.84
1632,237189.48
1633,174264.55
1634,190853.38
1635,176722.56
1636,158617.92
1637,210590.61
1638,172518.88
1639,187306.2
1640,237215.7
1641,177452.48
1642,251191.89
1643,219475.94
1644,237458.8
1645,216708.25
1646,162222.95
1647,155927.1
1648,131581.17
1649,142384.2
1650,117038.53
1651,126257.34
1652,101528.64
1653,103979.55
1654,144989.36
1655,135437.19
1656,138083.3
1657,147175.73
1658,146733.14
1659,122955.86
1660,159414.39
1661,461385.1
1662,414571.75
1663,374134.53
1664,484984.94
1665,309929.8
1666,328280.28
1667,390423.97
1668,354597.62
1669,308172.9
1670,349559.2
1671,260062.56
1672,450076.88
1673,292565.53
1674,238882.5
1675,196143.08
1676,197930.45
1677,211230.44
1678,406307.84
1679,399346.9
1680,325316.1
1681,249018.5
1682,317373.7
1683,189945.47
1684,176464.4
1685,177738.89
1686,173351.08
1687,173409.75
1688,188359.67
1689,193054.31
1690,198008.44
1691,189276.05
1692,261194.0
1693,167519.72
1694,185219.56
1695,166588.36
1696,272042.8
1697,172281.62
1698,346440.22
1699,323514.22
1700,253314.14
1701,266416.44
1702,234547.78
1703,238131.42
1704,269773.7
1705,232627.11
1706,304706.03
1707,210161.08
1708,202198.98
1709,264003.3
1710,222858.62
1711,275177.12
1712,257367.81
1713,281657.4
1714,222388.98
1715,211001.31
1716,178307.14
1717,176548.56
1718,136931.25
1719,208047.28
1720,239148.75
1721,162417.7
1722,129341.72
1723,162763.33
1724,203934.36
1725,240579.12
1726,190060.55
1727,153405.61
1728,181157.73
1729,166828.73
1730,155955.64
1731,120865.04
1732,132710.47
1733,112303.85
1734,124451.38
1735,132114.06
1736,111214.92
1737,289617.62
1738,239960.67
1739,254166.44
1740,219611.2
1741,193478.02
1742,177859.3
1743,182993.45
1744,313535.34
1745,202280.97
1746,188048.08
1747,208028.62
1748,229076.69
1749,145696.4
1750,121968.41
1751,242320.14
1752,119282.055
1753,150121.17
1754,191860.55
1755,158290.02
1756,133028.78
1757,121378.93
1758,148562.92
1759,162634.1
1760,165879.7
1761,145838.34
1762,182802.62
1763,179209.98
1764,116481.12
1765,173048.12
1766,195503.83
1767,218000.27
1768,141179.72
1769,163421.4
1770,154091.08
1771,117528.664
1772,133391.34
1773,131940.69
1774,146547.3
1775,142747.9
1776,131473.56
1777,104039.36
1778,143316.98
1779,124512.16
1780,169937.86
1781,121954.68
1782,97215.07
1783,153775.47
1784,114688.58
1785,113714.48
1786,142041.89
1787,160816.77
1788,77350.88
1789,91120.15
